"occur_date","occur_time","Type","x","y","hour"
2014-10-09,"19:50:00","BURGLARY-RESIDENCE",-84.49402,33.78194,19
2014-10-10,"19:54:00","ROBBERY-COMMERCIAL",-84.41736,33.763,19
2014-10-12,"19:58:00","BURGLARY-RESIDENCE",-84.40523,33.74505,19
2014-10-15,"20:00:00","ROBBERY-COMMERCIAL",-84.36942,33.84439,20
2014-10-15,"19:45:00","ROBBERY-PEDESTRIAN",-84.40773,33.77807,19
2014-10-17,"20:05:00","ROBBERY-PEDESTRIAN",-84.5059,33.76033,20
2014-10-20,"15:45:00","LARCENY-FROM VEHICLE",-84.37857,33.77248,15
2014-11-14,"20:00:00","LARCENY-FROM VEHICLE",-84.4261,33.81225,20
2014-11-15,"17:30:00","LARCENY-FROM VEHICLE",-84.36212,33.84676,17
2014-11-16,"20:15:00","LARCENY-FROM VEHICLE",-84.3556,33.73334,20
2014-11-20,"18:00:00","BURGLARY-RESIDENCE",-84.42882,33.76828,18
2014-11-22,"20:50:00","AGG ASSAULT",-84.4634,33.70439,20
2014-11-22,"20:50:00","AGG ASSAULT",-84.49112,33.70991,20
2014-11-24,"21:45:00","BURGLARY-RESIDENCE",-84.39276,33.71691,21
2014-11-25,"21:45:00","LARCENY-NON VEHICLE",-84.41278,33.80388,21
2014-11-26,"19:30:00","LARCENY-FROM VEHICLE",-84.35212,33.78376,19
2014-11-29,"20:30:00","LARCENY-FROM VEHICLE",-84.389,33.76332,20
2014-11-29,"22:20:00","LARCENY-NON VEHICLE",-84.33038,33.71898,22
2014-11-29,"22:50:00","BURGLARY-RESIDENCE",-84.38043,33.72807,22
2014-12-04,"16:00:00","BURGLARY-RESIDENCE",-84.40856,33.72449,16
2014-12-14,"9:00:00","BURGLARY-RESIDENCE",-84.36056,33.71241,9
2014-12-19,"16:00:00","LARCENY-NON VEHICLE",-84.36838,33.84641,16
2014-12-19,"23:33:00","ROBBERY-COMMERCIAL",-84.41277,33.80902,23
2014-12-25,"23:40:00","AGG ASSAULT",-84.43786,33.7207,23
2014-12-29,"19:00:00","LARCENY-FROM VEHICLE",-84.40371,33.7499,19
2014-12-31,"0:25:00","AGG ASSAULT",-84.35842,33.70609,0
2014-12-31,"0:39:00","AUTO THEFT",-84.40195,33.74708,0
2014-12-31,"19:30:00","LARCENY-FROM VEHICLE",-84.38298,33.78963,19
2014-12-31,"1:17:00","ROBBERY-PEDESTRIAN",-84.40257,33.74709,1
2014-12-31,"20:50:00","LARCENY-FROM VEHICLE",-84.39568,33.76206,20
2014-12-30,"20:00:00","AUTO THEFT",-84.40449,33.77347,20
2014-12-31,"22:00:00","LARCENY-FROM VEHICLE",-84.36129,33.77282,22
